Year,Municipality,GER
2012,Porto,364.9
2012,Póvoa de Varzim,127.8
2012,Santo Tirso,147.0
2012,Valongo,96.6
2012,Vila do Conde,82.0
2012,Vila Nova de Gaia,93.6
2012,Trofa,104.5
2012,Mondim de Basto,90.2
2012,Cabeceiras de Basto,116.1
2012,Fafe,97.7
2012,Guimarães,103.8
2012,Póvoa de Lanhoso,109.3
2012,Vieira do Minho,91.4
2012,Vila Nova de Famalicão,133.0
2012,Vizela,111.8
2012,Amares,104.4
2012,Barcelos,101.7
2012,Braga,180.8
2012,Esposende,107.6
2012,Terras de Bouro,77.9
2012,Vila Verde,99.9
2012,Alijó,81.0
2012,Mesão Frio,198.2
2012,Murça,141.6
2012,Peso da Régua,206.4
2012,Sabrosa,187.6
2012,Santa Marta de Penaguião,
2012,Vila Real,191.9
2012,Armamar,
2012,Lamego,175.9
2012,Moimenta da Beira,151.8
2012,Penedono,38.6
2012,São João da Pesqueira,157.5
2012,Sernancelhe,99.0
2012,Tabuaço,88.7
2012,Tarouca,71.6
2012,Carrazeda de Ansiães,158.3
2012,Freixo de Espada à Cinta,8.7
2012,Torre de Moncorvo,86.5
2012,Vila Nova de Foz Côa,87.9
2012,Castelo de Paiva,111.9
2012,Amarante,146.6
2012,Baião,97.2
2012,Felgueiras,113.0
2012,Lousada,83.0
2012,Marco de Canaveses,94.8
2012,Paços de Ferreira,92.6
2012,Penafiel,94.7
2012,Cinfães,108.2
2012,Resende,96.0
2012,Celorico de Basto,112.7
2012,Alfândega da Fé,97.5
2012,Bragança,189.4
2012,Macedo de Cavaleiros,139.4
2012,Miranda do Douro,141.2
2012,Mirandela,177.5
2012,Mogadouro,111.3
2012,Vila Flor,100.0
2012,Vimioso,
2012,Vinhais,92.0
2012,Castelo Branco,175.5
2012,Idanha-a-Nova,242.3
2012,Oleiros,37.1
2012,Penamacor,66.7
2012,Proença-a-Nova,76.3
2012,Vila Velha de Ródão,35.3
2012,Belmonte,155.1
2012,Covilhã,152.1
2012,Fundão,136.2
2012,Almeida,98.9
2012,Celorico da Beira,76.9
2012,Figueira de Castelo Rodrigo,98.6
2012,Fornos de Algodres,114.6
2012,Gouveia,148.2
2012,Guarda,171.2
2012,Manteigas,174.1
2012,Meda,108.8
2012,Pinhel,88.5
2012,Sabugal,73.4
2012,Seia,166.1
2012,Trancoso,143.8
2012,Abrantes,142.9
2012,Alcanena,86.0
2012,Constância,43.1
2012,Entroncamento,138.5
2012,Ferreira do Zêzere,88.5
2012,Mação,113.1
2012,Sardoal,128.3
2012,Tomar,186.0
2012,Torres Novas,128.1
2012,Vila Nova da Barquinha,57.0
2012,Ourém,143.9
2012,Sertã,144.6
2012,Vila de Rei,53.8
2012,Alcobaça,115.7
2012,Bombarral,92.3
2012,Caldas da Rainha,157.8
2012,Nazaré,98.1
2012,Óbidos,56.8
2012,Peniche,117.6
2012,Alenquer,94.1
2012,Arruda dos Vinhos,135.3
2012,Cadaval,61.7
2012,Lourinhã,80.1
2012,Sobral de Monte Agraço,53.8
2012,Torres Vedras,150.4
2012,Águeda,149.4
2012,Albergaria-a-Velha,119.4
2012,Anadia,126.0
2012,Aveiro,173.6
2012,Estarreja,91.3
2012,Ílhavo,71.1
2012,Murtosa,28.2
2012,Oliveira do Bairro,100.3
2012,Ovar,114.9
2012,Sever do Vouga,120.9
2012,Vagos,134.3
2012,Mealhada,83.4
2012,Mortágua,150.0
2012,Arganil,235.8
2012,Cantanhede,128.4
2012,Coimbra,195.6
2012,Condeixa-a-Nova,59.0
2012,Figueira da Foz,121.8
2012,Góis,24.2
2012,Lousã,123.9
2012,Mira,75.8
2012,Miranda do Corvo,60.5
2012,Montemor-o-Velho,94.9
2012,Oliveira do Hospital,130.3
2012,Pampilhosa da Serra,42.2
2012,Penacova,77.1
2012,Penela,33.0
2012,Soure,129.1
