Municipality,Year,Value
Covilhã,2010,132.0
Fundão,2010,51.0
Idanha-a-Nova,2010,18.0
Oleiros,2010,9.0
Penamacor,2010,7.0
Proença-a-Nova,2010,6.0
Sertã,2010,19.0
Vila de Rei,2010,6.0
Vila Velha de Ródão,2010,3.0
Arganil,2010,27.0
Cantanhede,2010,82.0
Coimbra,2010,346.0
Condeixa-a-Nova,2010,43.0
Figueira da Foz,2010,138.0
Góis,2010,11.0
Lousã,2010,51.0
Mira,2010,11.0
Miranda do Corvo,2010,33.0
Montemor-o-Velho,2010,85.0
Oliveira do Hospital,2010,30.0
Pampilhosa da Serra,2010,7.0
Penacova,2010,22.0
Penela,2010,6.0
Soure,2010,12.0
Tábua,2010,26.0
Vila Nova de Poiares,2010,22.0
Alandroal,2010,8.0
Arraiolos,2010,16.0
Borba,2010,13.0
Estremoz,2010,13.0
Évora,2010,144.0
Montemor-o-Novo,2010,32.0
Mora,2010,10.0
Mourão,2010,7.0
Portel,2010,4.0
Redondo,2010,23.0
Reguengos de Monsaraz,2010,20.0
Vendas Novas,2010,32.0
Viana do Alentejo,2010,14.0
Vila Viçosa,2010,11.0
Albufeira,2010,143.0
Alcoutim,2010,6.0
Aljezur,2010,3.0
Castro Marim,2010,9.0
Faro,2010,196.0
Lagoa,2010,75.0
Lagos,2010,78.0
Loulé,2010,149.0
Monchique,2010,7.0
Olhão,2010,138.0
Portimão,2010,168.0
São Brás de Alportel,2010,13.0
Silves,2010,100.0
Tavira,2010,53.0
Vila do Bispo,2010,11.0
Vila Real de Santo António,2010,53.0
Aguiar da Beira,2010,4.0
Almeida,2010,10.0
Celorico da Beira,2010,8.0
Figueira de Castelo Rodrigo,2010,8.0
Fornos de Algodres,2010,3.0
Gouveia,2010,17.0
Guarda,2010,77.0
Manteigas,2010,5.0
Meda,2010,10.0
Pinhel,2010,5.0
Sabugal,2010,7.0
Seia,2010,56.0
Trancoso,2010,14.0
Vila Nova de Foz Côa,2010,19.0
Alcobaça,2010,120.0
Alvaiázere,2010,20.0
Ansião,2010,25.0
Batalha,2010,47.0
Bombarral,2010,45.0
Caldas da Rainha,2010,75.0
Castanheira de Pêra,2010,5.0
Figueiró dos Vinhos,2010,18.0
Leiria,2010,227.0
Marinha Grande,2010,167.0
Nazaré,2010,41.0
Óbidos,2010,4.0
Pedrógão Grande,2010,3.0
Peniche,2010,55.0
Pombal,2010,104.0
Porto de Mós,2010,68.0
Alenquer,2010,110.0
Amadora,2010,421.0
Arruda dos Vinhos,2010,17.0
Azambuja,2010,44.0
Cadaval,2010,28.0
Cascais,2010,522.0
Lisboa,2010,1371.0
Loures,2010,578.0
Lourinhã,2010,60.0
Mafra,2010,115.0
Odivelas,2010,372.0
Oeiras,2010,395.0
Sintra,2010,1228.0
Sobral de Monte Agraço,2010,18.0
Torres Vedras,2010,142.0
Vila Franca de Xira,2010,191.0
Alter do Chão,2010,8.0
Arronches,2010,4.0
Avis,2010,7.0
Campo Maior,2010,22.0
Castelo de Vide,2010,3.0
Crato,2010,12.0
Elvas,2010,63.0
Fronteira,2010,7.0
Gavião,2010,7.0
Marvão,2010,1.0
Monforte,2010,1.0
Nisa,2010,7.0
Ponte de Sor,2010,39.0
Portalegre,2010,45.0
Sousel,2010,4.0
Amarante,2010,149.0
Baião,2010,66.0
Felgueiras,2010,99.0
Gondomar,2010,522.0
Lousãada,2010,107.0
Maia,2010,365.0
Marco de Canaveses,2010,135.0
Matosinhos,2010,476.0
Paços de Ferreira,2010,118.0
Paredes,2010,239.0
Penafiel,2010,133.0
Porto,2010,1228.0
Póvoa de Varzim,2010,135.0
Santo Tirso,2010,168.0
Trofa,2010,80.0
Valongo,2010,241.0
Vila do Conde,2010,162.0
Vila Nova de Gaia,2010,969.0
Abrantes,2010,72.0
Alcanena,2010,12.0
Almeirim,2010,34.0
Alpiarça,2010,9.0
Benavente,2010,74.0
Cartaxo,2010,35.0
Chamusca,2010,17.0
Constância,2010,7.0
Coruche,2010,26.0
Entroncamento,2010,25.0
Ferreira do Zêzere,2010,26.0
Golegã,2010,9.0
Mação,2010,6.0
Rio Maior,2010,33.0
Salvaterra de Magos,2010,62.0
Santarém,2010,133.0
Sardoal,2010,5.0
Tomar,2010,89.0
Torres Novas,2010,51.0
Vila Nova da Barquinha,2010,9.0
Ourém,2010,98.0
Alcácer do Sal,2010,24.0
Alcochete,2010,38.0
Almada,2010,426.0
Barreiro,2010,216.0
Grândola,2010,23.0
Moita,2010,204.0
Montijo,2010,136.0
Palmela,2010,133.0
Santiago do Cacém,2010,44.0
Seixal,2010,384.0
Sesimbra,2010,91.0
Setúbal,2010,297.0
Sines,2010,17.0
Arcos de Valdevez,2010,55.0
Caminha,2010,14.0
Melgaço,2010,23.0
Monção,2010,18.0
Paredes de Coura,2010,26.0
Ponte da Barca,2010,26.0
Ponte de Lima,2010,59.0
Valença,2010,36.0
Viana do Castelo,2010,198.0
Vila Nova de Cerveira,2010,17.0
Alijó,2010,27.0
Boticas,2010,5.0
Chaves,2010,81.0
Mesão Frio,2010,16.0
Mondim de Basto,2010,6.0
Montalegre,2010,35.0
Murça,2010,13.0
Peso da Régua,2010,50.0
Ribeira de Pena,2010,10.0
Sabrosa,2010,14.0
