Municipality,Year,Value
Melgaço,2011,9137
Monção,2011,19186
Paredes de Coura,2011,9166
Ponte da Barca,2011,12018
Ponte de Lima,2011,43482
Valença,2011,14045
Viana do Castelo,2011,88522
Vila Nova de Cerveira,2011,9239
Amares,2011,18830
Barcelos,2011,120515
Braga,2011,182176
Esposende,2011,34371
Terras de Bouro,2011,7141
Vila Verde,2011,47995
Cabeceiras de Basto,2011,16659
Fafe,2011,50576
Guimarães,2011,158048
Mondim de Basto,2011,7465
Póvoa de Lanhoso,2011,21947
Vieira do Minho,2011,12900
Vila Nova de Famalicão,2011,134206
Vizela,2011,23860
Arouca,2011,22231
Espinho,2011,31439
Gondomar,2011,168363
Maia,2011,135937
Matosinhos,2011,175869
Oliveira de Azeméis,2011,68568
Paredes,2011,87159
Porto,2011,233061
Póvoa de Varzim,2011,63504
Santa Maria da Feira,2011,140007
Santo Tirso,2011,71451
São João da Madeira,2011,21749
Trofa,2011,39010
Vale de Cambra,2011,22772
Valongo,2011,94577
Vila do Conde,2011,79864
Vila Nova de Gaia,2011,303430
Boticas,2011,5694
Chaves,2011,41225
Montalegre,2011,10387
Ribeira de Pena,2011,6517
Valpaços,2011,16699
Vila Pouca de Aguiar,2011,13093
Amarante,2011,56099
Baião,2011,20394
Castelo de Paiva,2011,16642
Celorico de Basto,2011,20087
Cinfães,2011,20254
Felgueiras,2011,58126
Lousada,2011,47547
Marco de Canaveses,2011,53521
Paços de Ferreira,2011,56769
Penafiel,2011,72227
Resende,2011,11280
Alijó,2011,11840
Armamar,2011,6258
Carrazeda de Ansiães,2011,6297
Freixo de Espada à Cinta,2011,3736
Lamego,2011,26566
Mesão Frio,2011,4386
Moimenta da Beira,2011,10190
Murça,2011,5938
Penedono,2011,2927
Peso da Régua,2011,17036
Sabrosa,2011,6339
Santa Marta de Penaguião,2011,7274
São João da Pesqueira,2011,7799
Sernancelhe,2011,5673
Tabuaço,2011,6347
Tarouca,2011,8018
Torre de Moncorvo,2011,8497
Vila Nova de Foz Côa,2011,7218
Vila Real,2011,51782
Alfândega da Fé,2011,5035
Bragança,2011,35273
Macedo de Cavaleiros,2011,15646
Miranda do Douro,2011,7458
Mirandela,2011,23669
Mogadouro,2011,9435
Vila Flor,2011,6636
Vimioso,2011,4610
Vinhais,2011,8951
Alcobaça,2011,56472
Alenquer,2011,43285
Arruda dos Vinhos,2011,13702
Bombarral,2011,13102
Cadaval,2011,14196
Caldas da Rainha,2011,51791
Lourinhã,2011,25752
Nazaré,2011,14988
Óbidos,2011,11768
Peniche,2011,27581
Sobral de Monte Agraço,2011,10169
Torres Vedras,2011,79505
Águeda,2011,47572
Albergaria-a-Velha,2011,25089
Anadia,2011,28958
Aveiro,2011,78093
Estarreja,2011,26878
Ílhavo,2011,38556
Murtosa,2011,10533
Oliveira do Bairro,2011,23201
Ovar,2011,55244
Sever do Vouga,2011,12253
Vagos,2011,22910
Arganil,2011,12027
Cantanhede,2011,36571
Coimbra,2011,141360
Condeixa-a-Nova,2011,17234
Figueira da Foz,2011,61918
Góis,2011,4187
Lousã,2011,17549
Mealhada,2011,20388
Mira,2011,12410
Miranda do Corvo,2011,13094
Montemor-o-Velho,2011,26138
Mortágua,2011,9531
Oliveira do Hospital,2011,20722
Pampilhosa da Serra,2011,4430
Penacova,2011,15091
Penela,2011,5910
Soure,2011,19033
Tábua,2011,12012
Vila Nova de Poiares,2011,7266
Alvaiázere,2011,7222
